sequence_id,tof_prop_missing,gesture,pred_imu,pred_all
SEQ_000877,0.0,Forehead - pull hairline,Above ear - pull hair,Eyebrow - pull hair
SEQ_000881,0.0,Write name in air,Write name in air,Write name in air
SEQ_000892,0.2,Text on phone,Text on phone,Text on phone
SEQ_000896,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_000899,0.0,Forehead - pull hairline,Cheek - pinch skin,Forehead - scratch
SEQ_000905,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_000913,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_000927,0.0,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object
SEQ_000929,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_000936,0.0,Eyebrow - pull hair,Cheek - pinch skin,Cheek - pinch skin
SEQ_000942,0.0,Above ear - pull hair,Neck - pinch skin,Above ear - pull hair
SEQ_000949,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_000957,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_000958,0.0,Glasses on/off,Glasses on/off,Glasses on/off
SEQ_000959,0.2,Eyebrow - pull hair,Forehead - scratch,Forehead - scratch
SEQ_000961,0.0,Forehead - pull hairline,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_000965,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_000971,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_000976,0.0,Above ear - pull hair,Neck - pinch skin,Above ear - pull hair
SEQ_000979,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_000983,0.0,Eyebrow - pull hair,Cheek - pinch skin,Eyebrow - pull hair
SEQ_000985,0.0,Forehead - pull hairline,Above ear - pull hair,Forehead - pull hairline
SEQ_000992,0.0,Forehead - pull hairline,Forehead - scratch,Forehead - scratch
SEQ_000993,1.0,Forehead - scratch,Cheek - pinch skin,Cheek - pinch skin
SEQ_000995,0.0,Neck - pinch skin,Above ear - pull hair,Cheek - pinch skin
SEQ_000996,0.0,Write name on leg,Write name on leg,Write name on leg
SEQ_000999,0.0,Eyebrow - pull hair,Above ear - pull hair,Eyelash - pull hair
SEQ_001003,0.0,Write name in air,Write name in air,Write name in air
SEQ_001025,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_001031,0.0,Forehead - scratch,Neck - pinch skin,Eyebrow - pull hair
SEQ_001032,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_001043,0.0,Above ear - pull hair,Neck - pinch skin,Neck - pinch skin
SEQ_001053,0.0,Neck - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_001060,0.0,Wave hello,Wave hello,Wave hello
SEQ_001062,0.0,Text on phone,Text on phone,Text on phone
SEQ_001065,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_001069,0.0,Eyebrow - pull hair,Forehead - pull hairline,Forehead - pull hairline
SEQ_001077,0.0,Neck - pinch skin,Neck - pinch skin,Cheek - pinch skin
SEQ_001091,0.0,Wave hello,Wave hello,Wave hello
SEQ_001118,0.0,Above ear - pull hair,Above ear - pull hair,Forehead - pull hairline
SEQ_001121,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_001124,0.0,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup
SEQ_001127,0.0,Neck - scratch,Neck - pinch skin,Neck - scratch
SEQ_001133,0.0,Cheek - pinch skin,Eyebrow - pull hair,Cheek - pinch skin
SEQ_001136,0.0,Write name in air,Write name in air,Write name in air
SEQ_001139,0.0,Neck - pinch skin,Above ear - pull hair,Above ear - pull hair
SEQ_001154,0.0,Wave hello,Wave hello,Wave hello
SEQ_001159,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_001160,0.0,Cheek - pinch skin,Eyelash - pull hair,Eyelash - pull hair
SEQ_001196,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_001201,0.0,Neck - scratch,Cheek - pinch skin,Cheek - pinch skin
SEQ_001203,0.0,Eyelash - pull hair,Forehead - pull hairline,Eyebrow - pull hair
SEQ_001223,0.0,Eyebrow - pull hair,Cheek - pinch skin,Eyebrow - pull hair
SEQ_001225,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_001230,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_001232,0.0,Write name in air,Write name in air,Write name in air
SEQ_001234,0.0,Text on phone,Text on phone,Text on phone
SEQ_001245,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_001249,0.0,Eyelash - pull hair,Neck - pinch skin,Cheek - pinch skin
SEQ_001256,0.0,Neck - scratch,Pull air toward your face,Above ear - pull hair
SEQ_001257,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_001265,0.0,Write name on leg,Write name on leg,Write name on leg
SEQ_001283,0.0,Neck - pinch skin,Neck - scratch,Neck - scratch
SEQ_001290,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_001295,0.0,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object
SEQ_001296,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_001301,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_001302,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_001307,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_001311,0.0,Write name on leg,Write name on leg,Write name on leg
SEQ_001317,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_001324,0.0,Neck - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_001342,0.0,Eyelash - pull hair,Forehead - scratch,Eyebrow - pull hair
SEQ_001350,0.0,Eyebrow - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_001352,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_001353,0.0,Forehead - pull hairline,Above ear - pull hair,Eyebrow - pull hair
SEQ_001361,0.0,Forehead - pull hairline,Forehead - pull hairline,Eyebrow - pull hair
SEQ_001363,0.0,Cheek - pinch skin,Forehead - pull hairline,Eyebrow - pull hair
SEQ_001368,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_001375,0.0,Write name in air,Write name in air,Write name in air
SEQ_001383,0.0,Eyebrow - pull hair,Cheek - pinch skin,Cheek - pinch skin
SEQ_001384,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_001392,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_001398,0.0,Text on phone,Text on phone,Text on phone
SEQ_001404,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_001410,0.0,Write name in air,Wave hello,Write name in air
SEQ_001414,0.0,Cheek - pinch skin,Neck - pinch skin,Cheek - pinch skin
SEQ_001416,0.0,Eyelash - pull hair,Forehead - pull hairline,Eyelash - pull hair
SEQ_001418,0.0,Text on phone,Text on phone,Text on phone
SEQ_001420,0.0,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup
SEQ_001426,0.0,Neck - pinch skin,Cheek - pinch skin,Eyelash - pull hair
SEQ_001439,0.0,Neck - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_001451,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_001456,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_001459,0.0,Text on phone,Text on phone,Text on phone
SEQ_001460,0.0,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin
SEQ_001481,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_001494,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_001520,0.0,Glasses on/off,Glasses on/off,Glasses on/off
SEQ_001524,0.0,Forehead - pull hairline,Forehead - pull hairline,Eyebrow - pull hair
SEQ_001531,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_001540,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_001549,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_001555,0.0,Wave hello,Write name in air,Write name in air
SEQ_001556,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_001558,0.0,Eyebrow - pull hair,Eyelash - pull hair,Eyebrow - pull hair
SEQ_001567,0.0,Neck - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_001568,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_001570,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_001580,0.0,Wave hello,Wave hello,Wave hello
SEQ_001589,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_001598,0.0,Neck - pinch skin,Above ear - pull hair,Neck - pinch skin
SEQ_001601,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_001605,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_001607,0.0,Glasses on/off,Glasses on/off,Glasses on/off
SEQ_001614,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_001615,0.0,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin
SEQ_001616,0.0,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object
SEQ_001618,0.0,Cheek - pinch skin,Forehead - pull hairline,Eyebrow - pull hair
SEQ_001628,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_001633,0.0,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object
SEQ_001642,0.0,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object
SEQ_001649,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_001655,0.0,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin
SEQ_001658,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_001664,0.0,Above ear - pull hair,Neck - pinch skin,Above ear - pull hair
SEQ_001679,0.0,Cheek - pinch skin,Eyebrow - pull hair,Cheek - pinch skin
SEQ_001694,0.2,Forehead - pull hairline,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_001704,0.0,Text on phone,Text on phone,Text on phone
SEQ_001708,0.0,Forehead - scratch,Forehead - pull hairline,Forehead - scratch
SEQ_001714,0.0,Above ear - pull hair,Neck - scratch,Above ear - pull hair
SEQ_001721,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_001731,0.0,Eyebrow - pull hair,Forehead - pull hairline,Forehead - pull hairline
SEQ_001753,0.0,Neck - pinch skin,Eyelash - pull hair,Eyelash - pull hair
SEQ_001758,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_001760,0.0,Write name on leg,Write name on leg,Write name on leg
SEQ_001761,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_001763,0.2,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_001765,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_001776,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_001777,0.0,Neck - pinch skin,Eyelash - pull hair,Neck - pinch skin
SEQ_001778,0.0,Write name on leg,Write name on leg,Write name on leg
SEQ_001784,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_001786,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_001801,0.0,Eyelash - pull hair,Eyebrow - pull hair,Eyelash - pull hair
SEQ_001822,0.0,Neck - scratch,Forehead - pull hairline,Cheek - pinch skin
SEQ_001830,0.0,Forehead - pull hairline,Forehead - pull hairline,Above ear - pull hair
SEQ_001832,0.0,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup
SEQ_001861,0.0,Neck - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_001864,0.0,Wave hello,Wave hello,Wave hello
SEQ_001865,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_001876,0.0,Wave hello,Wave hello,Wave hello
SEQ_001885,0.0,Text on phone,Text on phone,Text on phone
SEQ_001904,0.0,Write name on leg,Write name on leg,Write name on leg
SEQ_001905,1.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_001906,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_001909,0.0,Eyelash - pull hair,Forehead - pull hairline,Above ear - pull hair
SEQ_001910,0.0,Text on phone,Text on phone,Text on phone
SEQ_001915,0.0,Write name on leg,Write name on leg,Pinch knee/leg skin
SEQ_001926,0.0,Eyebrow - pull hair,Eyelash - pull hair,Eyebrow - pull hair
SEQ_001932,0.0,Cheek - pinch skin,Eyelash - pull hair,Cheek - pinch skin
SEQ_001935,0.0,Eyebrow - pull hair,Forehead - pull hairline,Forehead - pull hairline
SEQ_001936,0.0,Text on phone,Text on phone,Text on phone
SEQ_001946,0.0,Text on phone,Text on phone,Text on phone
SEQ_001954,0.0,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin
SEQ_001963,0.0,Cheek - pinch skin,Cheek - pinch skin,Eyebrow - pull hair
SEQ_001971,0.0,Wave hello,Wave hello,Wave hello
SEQ_001978,0.0,Cheek - pinch skin,Cheek - pinch skin,Eyebrow - pull hair
SEQ_001985,0.0,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object
SEQ_001986,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_002011,0.0,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin
SEQ_002012,0.0,Forehead - scratch,Eyebrow - pull hair,Forehead - scratch
SEQ_002020,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_002029,0.2,Write name in air,Write name in air,Write name in air
SEQ_002044,0.0,Write name on leg,Scratch knee/leg skin,Scratch knee/leg skin
SEQ_002045,0.0,Neck - scratch,Above ear - pull hair,Neck - scratch
SEQ_002046,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_002050,0.2,Write name in air,Write name in air,Write name in air
SEQ_002054,0.0,Neck - scratch,Forehead - pull hairline,Neck - scratch
SEQ_002074,0.0,Write name in air,Write name in air,Write name in air
SEQ_002095,0.0,Text on phone,Text on phone,Text on phone
SEQ_002096,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_002101,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_002108,0.0,Neck - scratch,Forehead - scratch,Neck - scratch
SEQ_002117,0.0,Wave hello,Wave hello,Wave hello
SEQ_002119,0.0,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin
SEQ_002157,0.0,Glasses on/off,Glasses on/off,Glasses on/off
SEQ_002161,0.0,Eyelash - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_002177,0.0,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup
SEQ_002182,0.0,Text on phone,Neck - pinch skin,Text on phone
SEQ_002183,0.0,Eyebrow - pull hair,Neck - scratch,Forehead - scratch
SEQ_002185,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_002190,0.0,Write name in air,Write name in air,Write name in air
SEQ_002194,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_002216,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_002223,0.0,Text on phone,Text on phone,Text on phone
SEQ_002228,0.0,Write name on leg,Write name on leg,Write name on leg
SEQ_002250,0.0,Wave hello,Wave hello,Wave hello
SEQ_002256,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_002260,0.0,Eyebrow - pull hair,Neck - pinch skin,Eyebrow - pull hair
SEQ_002268,0.0,Text on phone,Text on phone,Text on phone
SEQ_002276,0.0,Neck - pinch skin,Neck - scratch,Neck - scratch
SEQ_002285,0.0,Write name in air,Write name in air,Write name in air
SEQ_002294,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_002302,0.0,Forehead - scratch,Cheek - pinch skin,Text on phone
SEQ_002309,0.0,Above ear - pull hair,Neck - pinch skin,Neck - scratch
SEQ_002317,0.0,Neck - scratch,Write name in air,Write name in air
SEQ_002320,0.0,Text on phone,Text on phone,Text on phone
SEQ_002322,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_002324,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_002325,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_002344,0.2,Write name on leg,Write name on leg,Write name on leg
SEQ_002349,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_002350,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_002357,0.2,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup
SEQ_002359,0.0,Neck - pinch skin,Cheek - pinch skin,Neck - pinch skin
SEQ_002362,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_002363,0.0,Forehead - scratch,Neck - scratch,Forehead - scratch
SEQ_002374,0.0,Text on phone,Text on phone,Text on phone
SEQ_002380,0.0,Text on phone,Text on phone,Text on phone
SEQ_002381,0.0,Forehead - scratch,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_002384,0.2,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_002391,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_002450,0.0,Text on phone,Text on phone,Text on phone
SEQ_002451,0.0,Text on phone,Text on phone,Text on phone
SEQ_002452,0.0,Above ear - pull hair,Neck - scratch,Above ear - pull hair
SEQ_002461,0.0,Write name in air,Write name in air,Write name in air
SEQ_002515,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_002529,0.0,Forehead - pull hairline,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_002555,0.0,Text on phone,Text on phone,Text on phone
